id_client,nb_jours_abonne,duree_appel_jour(minutes),nb_appel_jour,cout_appel_jour,duree_appel_soiree(minutes),nb_appel_soiree,cout_appel_soiree,duree_appel_nuit(minutes),nb_appel_nuit,cout_appel_nuit,duree_appel_inter(minutes),nb_appel_inter,cout_appel_inter,active_msg_vocaux,nb_msg_vocaux,nb_reclamation,churn
 382-4657,128,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10,3,2.7, yes,25,1, False.
 371-7191,107,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7, yes,26,1, False.
 358-1921,137,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29, no,0,0, False.
 375-9999,84,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78, no,0,2, False.
 330-6626,75,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73, no,0,3, False.
 391-8027,118,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7, no,0,0, False.
 355-9993,121,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03, yes,24,3, False.
 329-9001,147,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92, no,0,0, False.
 335-4719,117,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35, no,0,1, False.
 330-8173,141,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02, yes,37,0, False.
 329-6603,65,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43, no,0,4, True.
 344-9403,74,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46, no,0,0, False.
 363-1107,168,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02, no,0,1, False.
 394-8006,95,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32, no,0,3, False.
 366-9238,62,120.7,70,20.52,307.2,76,26.11,203,99,9.14,13.1,6,3.54, no,0,4, False.
 351-7269,161,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46, no,0,4, True.
 350-8884,85,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73, yes,27,1, False.
 386-2923,93,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19, no,0,3, False.
 356-2992,76,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7, yes,33,1, False.
 373-2782,73,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13,2,3.51, no,0,1, False.
 396-5800,147,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86, no,0,0, False.
 393-7984,77,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54, no,0,5, True.
 358-1958,130,183,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57, no,0,0, False.
 350-2565,111,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08, no,0,2, False.
 343-4696,132,81.1,86,13.79,245.2,72,20.84,237,115,10.67,10.3,2,2.78, no,0,0, False.
 331-3698,174,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19, no,0,3, False.
 357-3817,57,213,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57, yes,39,0, False.
 418-6412,54,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97, no,0,3, False.
 353-2630,20,190,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7, no,0,0, False.
 410-7789,49,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3, no,0,1, False.
 416-8428,142,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83, no,0,2, False.
 370-3359,75,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78, no,0,1, False.
 383-1121,172,212,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4, no,0,3, False.
 360-1596,12,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19, no,0,1, True.
 395-2854,57,176.8,94,30.06,195,75,16.58,213.5,116,9.61,8.3,4,2.24, yes,25,0, False.
 362-1407,72,220,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97, yes,37,3, False.
 341-9764,36,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92, yes,30,0, False.
 353-3305,78,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7, no,0,1, False.
 402-1381,136,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84, yes,33,3, False.
 332-9891,149,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3, no,0,1, False.
 372-9976,98,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54, no,0,3, False.
 383-6029,135,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94, yes,41,0, True.
 353-7289,34,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10,4,2.7, no,0,2, False.
 390-7274,160,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48, no,0,3, False.
 352-1237,64,154,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95, no,0,1, False.
 353-3061,59,120.9,97,20.55,213,92,18.11,163.1,116,7.34,8.5,5,2.3, yes,28,2, False.
 363-5450,65,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56, no,0,3, False.
 364-1995,142,187,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2, no,0,2, False.
 398-1294,119,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38, no,0,5, True.
 405-7146,97,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11,3,2.97, yes,24,1, False.
 413-4957,52,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11, no,0,3, False.
 420-5645,60,220.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84, no,0,1, False.
 349-4396,10,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08, no,0,2, False.
 404-3211,96,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51, no,0,2, False.
 353-3759,87,151,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62, no,0,5, True.
 363-5947,81,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75, no,0,1, False.
